Acronim,Full name,In-Degree,Out-Degree,Betweenness Centrality,Eigenvector Centrality,Level,Type,Network
ADS,Agency for State Properties,0,0.098039216,27.972015,0.009942,National,Entreprise,Iron Gates Natural Park
ADS CS,Agency for State Properties Caras-Severin,0.235294118,0.254901961,33.301595,0.025724,County,Entreprise,Iron Gates Natural Park
ADS MH,Agency for State Properties Mehedinti,0.235294118,0.254901961,42.706381,0.022731,County,Entreprise,Iron Gates Natural Park
AECO,Entreprises Iron Gates (collective actors),0.117647059,0.117647059,16.958231,0.010863,Local,Entreprise,Iron Gates Natural Park
AFIR CS,The Payment Agency for Rural Development and Fishing Caras-Severin,0.058823529,0.039215686,0.907085,0.006103,County,Authority,Iron Gates Natural Park
ANSVSA,National Sanitary Veterinary and Food Safety Authority,0.019607843,0.019607843,0,0.001169,National,Authority,Iron Gates Natural Park
APIA,Agency for Payments and Intervention in Agriculture,0.058823529,0.039215686,0,0.005095,National,Authority,Iron Gates Natural Park
APIA Baia Arama,Agency for Payments and Intervention in Agriculture Baia de Arama,0.019607843,0,0,0.001629,Local,Authority,Iron Gates Natural Park
APIA CS,Agency for Payments and Intervention in Agriculture Caras-Severin,0.137254902,0.137254902,95.667465,0.01588,County,Authority,Iron Gates Natural Park
APIA MH,Agency for Payments and Intervention in Agriculture Mehedinti,0.196078431,0.215686275,276.349377,0.020954,County,Authority,Iron Gates Natural Park
APIA Moldova Noua,Agency for Payments and Intervention in Agriculture Moldova Noua,0.392156863,0.294117647,336.312505,0.032899,Local,Authority,Iron Gates Natural Park
APIA Orsova,Agency for Payments and Intervention in Agriculture Orsova,0.31372549,0.31372549,360.503217,0.029537,Local,Authority,Iron Gates Natural Park
APIA Resita,Agency for Payments and Intervention in Agriculture Resita,0.098039216,0.058823529,15.130829,0.011031,Local,Authority,Iron Gates Natural Park
APM CS,Environmental Protection Agency Caras-Severin,0.098039216,0.137254902,13.562737,0.017977,Local,Authority,Iron Gates Natural Park
APM MH,Environmental Protection Agency Mehedinti,0.215686275,0.117647059,227.695994,0.022179,Local,Authority,Iron Gates Natural Park
APNPF,Iron Gates Natural Park Administration,0.31372549,0.37254902,479.928961,0.034768,County,Entreprise,Iron Gates Natural Park
CC MH,Romanian Court of Accounts Mehedinti,0,0.019607843,0,0.002297,County,Authority,Iron Gates Natural Park
CJ CS,Caras-Severin Couny Council,0.058823529,0.137254902,2.253904,0.01472,County,Authority,Iron Gates Natural Park
CJ MH,Mehedinti County Council,0.039215686,0.117647059,8.397097,0.010143,County,Authority,Iron Gates Natural Park
CL Orsova,Orsova Local County,0.019607843,0,0,0.001464,Local,Authority,Iron Gates Natural Park
DAJ CS,Department of Agriculture Caras-Severin,0.31372549,0.294117647,83.43698,0.027155,County,Authority,Iron Gates Natural Park
DAJ MH,Department of Agriculture Mehedinti,0.294117647,0.333333333,91.379588,0.029781,County,Authority,Iron Gates Natural Park
DSVSA CS,National Sanitary Veterinary and Food Safety Authority Caras-Severin,0.098039216,0.137254902,4.440254,0.014384,County,Authority,Iron Gates Natural Park
DSVSA MH,National Sanitary Veterinary and Food Safety Authority Mehedinti,0.078431373,0.176470588,150.644937,0.015031,County,Authority,Iron Gates Natural Park
Farmers,Farmers Iron Gates (collective actors),0.549019608,0.490196078,1012.950894,0.051152,Local,Entreprise,Iron Gates Natural Park
FCONSULT,Consultants Iron Gates (collective actors),0.058823529,0.019607843,0.866667,0.004916,Local,Entreprise,Iron Gates Natural Park
GAL,Local Action Group Iron Gates (collective actors),0.019607843,0,0,0.002065,Local,NGO & Research,Iron Gates Natural Park
GAL Moldova Noua,Local Action Group Moldova Noua,0.039215686,0.039215686,0,0.005259,Local,NGO & Research,Iron Gates Natural Park
GAL Tinutul Closani,Local Action Group Tinutul Closani,0.019607843,0,0,0.001725,Local,NGO & Research,Iron Gates Natural Park
GF CS,Forestry Guard Caras-Severin,0.019607843,0.098039216,22.087305,0.00904,County,Authority,Iron Gates Natural Park
GF MH,Forestry Guard Mehedinti,0.039215686,0.019607843,0,0.004432,County,Authority,Iron Gates Natural Park
GM CS,Environmental Guard Caras-Severin,0.019607843,0.058823529,0.748355,0.005924,County,Authority,Iron Gates Natural Park
GM MH,Environmental Guard Mehedinti,0.039215686,0.058823529,0.974359,0.007458,County,Authority,Iron Gates Natural Park
ICDP BV,Research and Development Institute for Grasslands Brasov,0.019607843,0.078431373,16.132048,0.008992,National,NGO & Research,Iron Gates Natural Park
ICPA,"National Research and Development Institute for Soil Science, Agrochemistry and Environment",0,0.019607843,0,0.001947,National,NGO & Research,Iron Gates Natural Park
ISCU CS,General Inspectorate for Emergency Situations Caras-Severin,0.019607843,0,0,0.002557,County,Authority,Iron Gates Natural Park
MADR,Ministry of Agriculture and Rural Development ,0.176470588,0.156862745,147.107318,0.019148,National,Authority,Iron Gates Natural Park
OCPI CS,National Agency for Cadastre and Real Estate Advertising Caras-Severin,0.196078431,0.254901961,136.339424,0.026576,County,Authority,Iron Gates Natural Park
OCPI MH,National Agency for Cadastre and Real Estate Advertising Mehedinti,0.235294118,0.294117647,53.274552,0.029032,County,Authority,Iron Gates Natural Park
OCPI Orsova,National Agency for Cadastre and Real Estate Advertising Orsova,0.039215686,0.058823529,2.733333,0.004548,Local,Authority,Iron Gates Natural Park
OCPI Resita,National Agency for Cadastre and Real Estate Advertising Resita,0.058823529,0.058823529,1.757246,0.004632,Local,Authority,Iron Gates Natural Park
OJ Zoot MH,County Office for Animal Husbandry,0.019607843,0.019607843,0,0.002297,County,Authority,Iron Gates Natural Park
OS DTS,Forestry Unit Drobeta,0.058823529,0.039215686,2.485714,0.005755,Local,Entreprise,Iron Gates Natural Park
OS Moldova Noua,Forestry Unit Moldova Noua,0.098039216,0.078431373,53.298512,0.01029,Local,Entreprise,Iron Gates Natural Park
OS Orsova,Forestry Unit Orsova,0.215686275,0.176470588,81.060633,0.022237,Local,Entreprise,Iron Gates Natural Park
OSPA CS,County Office for Soil and Agrochemistry Studies Caras-Severin,0.058823529,0.058823529,0.265152,0.008301,County,Authority,Iron Gates Natural Park
OSPA MH,County Office for Soil and Agrochemistry Studies Mehedinti,0.274509804,0.176470588,235.460925,0.025042,County,Authority,Iron Gates Natural Park
Prefectura CS,Prefecture Caras-Severin,0.156862745,0.137254902,6.478079,0.017751,County,Authority,Iron Gates Natural Park
