## Iron Gates Natural Park,,,,
,,,,
effects,estimates,stderr,t-ratio,
reciprocity,-0.215593,0.25869,0.00106,
2-in-star,0.127122,0.04775,-0.03059,*
2-out-star,0.088256,0.06691,0.09028,
3-in-star,-0.000478,0.00391,-0.03546,
3-out-star,0.001521,0.00598,0.18423,
path2,0.012732,0.00829,-0.04067,
AinS(2.00),-0.44718,0.83907,-0.00898,
AoutS(2.00),-0.547842,0.87372,0.03546,
Ain1out-star(2.00),0.080825,0.08362,-0.01502,
1inAout-star(2.00),-0.030125,0.06144,-0.03405,
AinAout-star(2.00),-1.171001,0.98546,-0.01266,
A2P-DU(2.00),-0.329058,0.03722,0.02058,*
,,,,
,,,,
GOODNESS OF FIT,,,,
effects,observed,mean,stddev,t-ratio
arc,459,459,0,
reciprocity,26,25.687,5.705,0.055
2-in-star,2581,2577.705,269.765,0.012
2-out-star,2385,2373.681,223.393,0.051
3-in-star,11602,11594.799,2643.042,0.003
3-out-star,9567,9438.045,2014.541,0.064
path2,3423,3423.471,247.204,-0.002
T1,1,2.359,3.113,-0.437
T2,19,38.629,32.449,-0.605
T3,86,118.997,57.695,-0.572
T4,53,95.26,48.104,-0.879
T5,72,96.799,47.034,-0.527
T6,46,52.905,31.739,-0.218
T7,574,595.561,184.798,-0.117
T8,563,572.731,172.121,-0.057
T9(030T),790,984.607,209.361,-0.93
T10(030C),137,140.183,33.322,-0.096
Sink,5,5.534,2.509,-0.213
Source,3,4.822,2.421,-0.753
Isolates,0,0.046,0.228,-0.202
AinS(2.00),708.189,707.768,11.298,0.037
AoutS(2.00),706.436,706.278,10.934,0.014
AinS(2.00),708.189,707.768,11.298,0.037
AoutS(2.00),706.436,706.278,10.934,0.014
Ain1out-star(2.00),778.487,779.429,41.022,-0.023
1inAout-star(2.00),746.667,747.596,59.216,-0.016
AinAout-star(2.00),173.853,174.432,18.727,-0.031
AT-T(2.00),469.458,530.684,56.822,-1.078
AT-C(2.00),294.859,277.074,45.981,0.387
AT-D(2.00),369.258,441.716,36.991,-1.959
AT-U(2.00),416.765,445.664,38.912,-0.743
AT-TD(2.00),419.358,486.2,44.01,-1.519
AT-TU(2.00),443.111,488.174,43.991,-1.024
AT-DU(2.00),393.011,443.69,34.649,-1.463
AT-TDU(2.00),418.493,472.688,39.692,-1.365
A2P-T(2.00),2370.575,2288.324,147.772,0.557
A2P-D(2.00),1240.894,1241.488,87.502,-0.007
A2P-U(2.00),1364.501,1362.361,84.862,0.025
A2P-TD(2.00),1805.734,1764.906,101.784,0.401
A2P-TU(2.00),1867.538,1825.342,96.123,0.439
A2P-DU(2.00),1302.697,1301.924,50.339,0.015
A2P-TDU(2.00),1658.656,1630.724,75.894,0.368
Std Dev in-degree dist,6.06,6.007,0.73,0.073
Skew in-degree dist,0.815,0.774,0.208,0.199
Std Dev out-degree dist,5.514,5.44,0.664,0.111
Skew out-degree dist,0.626,0.552,0.232,0.318
CorrCoef in-out-degree dists,0.062,0.062,0.12,0.003
Global Clustering Cto,0.166,0.206,0.032,-1.251
Global Clustering Cti,0.153,0.19,0.028,-1.306
Global Clustering Ctm,0.231,0.287,0.052,-1.07
Global Clustering Ccm,0.12,0.122,0.021,-0.072
Global Clustering AKC-T,0.198,0.234,0.035,-1.022
Global Clustering AKC-D,0.149,0.179,0.02,-1.523
Global Clustering AKC-U,0.153,0.164,0.017,-0.688
Global Clustering AKC-C,0.124,0.121,0.016,0.243
,,,,
ACCEPTANCE RATE: 0.3830,,,,
,,,,
SAMPLE GEODESIC DISTRIBUTION,,,,
Note: geodesic = shortest path between two nodes.,,,,
The geodesic distribution is not based on semi-paths.,,,,
,,,,
FIRST QUARTILES,,,,
Median of sample G25s: 2,,,,
Interquartile range: 0,,,,
Observed first quartile geodesic: 2,,,,
"in model samples, 0.00% of graphs have lower G25.",,,,
"in model samples, 0.00% of graphs have higher G25.",,,,
,,,,
SECOND QUARTILES,,,,
Median of sample G50s: 3,,,,
Interquartile range: 0,,,,
Observed median geodesic: 2,,,,
"in model samples, 0.00% of graphs have lower G50.",,,,
"in model samples, 77.60% of graphs have higher G50.",,,,
,,,,
THIRD QUARTILES,,,,
Median of sample G75s: 4,,,,
Interquartile range: 1,,,,
Observed first quartile geodesic: 3,,,,
"in model samples, 0.00% of graphs have lower G75.",,,,
"in model samples, 56.60% of graphs have higher G75.",,,,
,,,,
,,,,
GOF on Triad Census,,,,
Triad,observed,mean,stddev,t-ratio
300,1,2.359,3.113,-0.437
210,13,24.475,15.834,-0.725
120C,54,55.893,15.567,-0.122
120D,37,63.708,26.935,-0.992
120U,56,65.247,26.668,-0.347
201,30,21.353,10.524,0.822
111D,341,281.967,59.6,0.99
111U,292,256.059,52.413,0.686
030T,505,583.225,94.244,-0.83
030C,68,55.097,16.196,0.797
102,717,745.3,164.367,-0.172
021D,1326,1206.922,145.631,0.818
021C,1615,1556.58,170.269,0.343
021U,1492,1386.577,175.175,0.602
12,13302,13717.865,470.287,-0.884
3,19862,19688.373,370.054,0.469
Mahalanobis distance =201.094943 (40439.176172),,,,
